track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
6EbduYTr62sSzvl36wWiFM,0.697,0.377,3.0,-7.755,1.0,0.0397,0.556,0.0,0.0999,0.336,138.754,audio_features,0xCA70t1ZA4fa9UOE0lIJm,spotify:track:0xCA70t1ZA4fa9UOE0lIJm,https://api.spotify.com/v1/tracks/0xCA70t1ZA4fa9UOE0lIJm,https://api.spotify.com/v1/audio-analysis/0xCA70t1ZA4fa9UOE0lIJm,244573.0,4.0
0xCA70t1ZA4fa9UOE0lIJm,0.788,0.859,2.0,-2.724,1.0,0.0856,0.281,0.0,0.0424,0.822,141.02,audio_features,50nfwKoDiSYg8zOCREWAm5,spotify:track:50nfwKoDiSYg8zOCREWAm5,https://api.spotify.com/v1/tracks/50nfwKoDiSYg8zOCREWAm5,https://api.spotify.com/v1/audio-analysis/50nfwKoDiSYg8zOCREWAm5,207853.0,4.0
50nfwKoDiSYg8zOCREWAm5,0.461,0.834,2.0,-4.868,1.0,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,audio_features,6PCUP3dWmTjcTtXY02oFdT,spotify:track:6PCUP3dWmTjcTtXY02oFdT,https://api.spotify.com/v1/tracks/6PCUP3dWmTjcTtXY02oFdT,https://api.spotify.com/v1/audio-analysis/6PCUP3dWmTjcTtXY02oFdT,261154.0,4.0
6PCUP3dWmTjcTtXY02oFdT,0.806,0.608,1.0,-7.008,1.0,0.0659,0.0113,0.0,0.635,0.849,95.049,audio_features,1huvTbEYtgltjQRXzrNKGi,spotify:track:1huvTbEYtgltjQRXzrNKGi,https://api.spotify.com/v1/tracks/1huvTbEYtgltjQRXzrNKGi,https://api.spotify.com/v1/audio-analysis/1huvTbEYtgltjQRXzrNKGi,219840.0,4.0
1huvTbEYtgltjQRXzrNKGi,0.526,0.328,1.0,-9.864,1.0,0.0461,0.694,0.0,0.112,0.11,116.068,audio_features,0SuG9kyzGRpDqrCWtgD6Lq,spotify:track:0SuG9kyzGRpDqrCWtgD6Lq,https://api.spotify.com/v1/tracks/0SuG9kyzGRpDqrCWtgD6Lq,https://api.spotify.com/v1/audio-analysis/0SuG9kyzGRpDqrCWtgD6Lq,526387.0,4.0
0SuG9kyzGRpDqrCWtgD6Lq,0.715,0.194,4.0,-8.615,1.0,0.0329,0.726,1.14e-06,0.36,0.367,102.855,audio_features,55tN1esXmaKoCnAyBTXast,spotify:track:55tN1esXmaKoCnAyBTXast,https://api.spotify.com/v1/tracks/55tN1esXmaKoCnAyBTXast,https://api.spotify.com/v1/audio-analysis/55tN1esXmaKoCnAyBTXast,185676.0,4.0
55tN1esXmaKoCnAyBTXast,0.586,0.373,4.0,-9.193,1.0,0.0356,0.587,3.47e-06,0.0702,0.288,147.057,audio_features,6UIcjH0BzH2MKvToeEYIOZ,spotify:track:6UIcjH0BzH2MKvToeEYIOZ,https://api.spotify.com/v1/tracks/6UIcjH0BzH2MKvToeEYIOZ,https://api.spotify.com/v1/audio-analysis/6UIcjH0BzH2MKvToeEYIOZ,239771.0,4.0
6UIcjH0BzH2MKvToeEYIOZ,0.956,0.417,7.0,-7.892,0.0,0.0926,0.572,0.00071,0.0782,0.714,108.015,audio_features,3s1KwrLP0NlFWiWbjz6bfQ,spotify:track:3s1KwrLP0NlFWiWbjz6bfQ,https://api.spotify.com/v1/tracks/3s1KwrLP0NlFWiWbjz6bfQ,https://api.spotify.com/v1/audio-analysis/3s1KwrLP0NlFWiWbjz6bfQ,187111.0,4.0
3s1KwrLP0NlFWiWbjz6bfQ,0.64,0.648,5.0,-8.113,0.0,0.187,0.124,0.0,0.0802,0.548,92.977,audio_features,4evmHXcjt3bTUHD1cvny97,spotify:track:4evmHXcjt3bTUHD1cvny97,https://api.spotify.com/v1/tracks/4evmHXcjt3bTUHD1cvny97,https://api.spotify.com/v1/audio-analysis/4evmHXcjt3bTUHD1cvny97,197867.0,4.0
4evmHXcjt3bTUHD1cvny97,0.798,0.676,6.0,-5.041,1.0,0.0442,0.0902,0.0,0.0894,0.843,101.956,audio_features,3HVWdVOQ0ZA45FuZGSfvns,spotify:track:3HVWdVOQ0ZA45FuZGSfvns,https://api.spotify.com/v1/tracks/3HVWdVOQ0ZA45FuZGSfvns,https://api.spotify.com/v1/audio-analysis/3HVWdVOQ0ZA45FuZGSfvns,219947.0,4.0
